d,count
2020.01.01,300
2020.01.02,850
2020.01.03,650
2020.01.04,200
2020.01.05,350
2020.01.06,800
2020.01.07,750
2020.01.08,850
2020.01.09,750
2020.01.10,650
2020.01.11,150
2020.01.12,250
2020.01.13,800
2020.01.14,850
2020.01.15,650
2020.01.16,750
2020.01.17,600
2020.01.18,150
2020.01.19,250
2020.01.20,750
2020.01.21,800
2020.01.22,750
2020.01.23,650
2020.01.24,150
2020.01.25,150
2020.01.26,150
2020.01.27,250
2020.01.28,650
2020.01.29,850
2020.01.30,850
2020.01.31,750
2020.02.01,150
2020.02.02,300
2020.02.03,800
2020.02.04,750
2020.02.05,750
2020.02.06,800
2020.02.07,700
2020.02.08,150
2020.02.09,250
2020.02.10,750
2020.02.11,700
2020.02.12,750
2020.02.13,850
2020.02.14,650
2020.02.15,150
2020.02.16,300
2020.02.17,800
2020.02.18,850
2020.02.19,850
2020.02.20,850
2020.02.21,700
2020.02.22,200
2020.02.23,350
2020.02.24,800
2020.02.25,800
2020.02.26,800
2020.02.27,850
2020.02.28,800
2020.02.29,200
2020.03.01,300
2020.03.02,850
2020.03.03,850
2020.03.04,900
2020.03.05,900
2020.03.06,750
2020.03.07,150
2020.03.08,300
2020.03.09,800
2020.03.10,850
2020.03.11,850
2020.03.12,850
2020.03.13,800
2020.03.14,200
2020.03.15,300
2020.03.16,900
2020.03.17,800
2020.03.18,900
2020.03.19,850
2020.03.20,800
2020.03.21,200
2020.03.22,300
2020.03.23,900
2020.03.24,950
2020.03.25,1000
2020.03.26,900
2020.03.27,800
2020.03.28,200
2020.03.29,300
2020.03.30,850
2020.03.31,900
2020.04.01,900
2020.04.02,850
2020.04.03,750
2020.04.04,200
2020.04.05,300
2020.04.06,850
2020.04.07,800
2020.04.08,750
2020.04.09,850
2020.04.10,800
2020.04.11,150
2020.04.12,300
2020.04.13,850
2020.04.14,800
2020.04.15,400
2020.04.16,850
2020.04.17,750
2020.04.18,150
2020.04.19,250
2020.04.20,850
2020.04.21,850
2020.04.22,800
2020.04.23,850
2020.04.24,800
2020.04.25,200
