d,count,count_keywords,percentage
2020.01.01,350,2,0.5714285714285714
2020.01.02,750,6,0.8
2020.01.03,600,1,0.16666666666666669
2020.01.04,250,0,0.0
2020.01.05,300,1,0.33333333333333337
2020.01.06,650,8,1.2307692307692308
2020.01.07,750,7,0.9333333333333335
2020.01.08,850,5,0.5882352941176471
2020.01.09,850,5,0.5882352941176471
2020.01.10,508,9,1.7716535433070866
2020.01.11,100,1,1.0
2020.01.12,250,0,0.0
2020.01.13,750,6,0.8
2020.01.14,700,4,0.5714285714285714
2020.01.15,600,8,1.3333333333333335
2020.01.16,700,10,1.4285714285714286
2020.01.17,548,4,0.7299270072992701
2020.01.18,150,2,1.3333333333333335
2020.01.19,250,2,0.8
2020.01.20,750,12,1.6
2020.01.21,600,17,2.833333333333333
2020.01.22,700,13,1.8571428571428572
2020.01.23,523,1,0.19120458891013384
2020.01.24,150,0,0.0
2020.01.25,150,1,0.6666666666666667
2020.01.26,100,0,0.0
2020.01.27,250,3,1.2
2020.01.28,650,6,0.9230769230769231
2020.01.29,700,13,1.8571428571428572
2020.01.30,850,4,0.4705882352941176
2020.01.31,700,2,0.2857142857142857
2020.02.01,150,1,0.6666666666666667
2020.02.02,250,5,2.0
2020.02.03,800,9,1.125
2020.02.04,750,3,0.4
2020.02.05,750,5,0.6666666666666667
2020.02.06,850,4,0.4705882352941176
2020.02.07,650,9,1.3846153846153846
2020.02.08,100,2,2.0
2020.02.09,300,2,0.6666666666666667
2020.02.10,700,7,1.0
2020.02.11,850,6,0.7058823529411765
2020.02.12,750,11,1.4666666666666666
2020.02.13,850,7,0.823529411764706
2020.02.14,600,2,0.33333333333333337
2020.02.15,200,2,1.0
2020.02.16,300,4,1.3333333333333335
2020.02.17,750,8,1.0666666666666667
2020.02.18,700,7,1.0
2020.02.19,800,9,1.125
2020.02.20,750,9,1.2
2020.02.21,650,4,0.6153846153846154
2020.02.22,150,3,2.0
2020.02.23,300,2,0.6666666666666667
2020.02.24,650,10,1.5384615384615385
2020.02.25,700,12,1.7142857142857144
2020.02.26,700,16,2.2857142857142856
2020.02.27,700,23,3.2857142857142856
2020.02.28,600,13,2.166666666666667
2020.02.29,200,3,1.5
2020.03.01,350,9,2.571428571428571
2020.03.02,800,20,2.5
2020.03.03,850,18,2.1176470588235294
2020.03.04,750,26,3.4666666666666663
2020.03.05,750,19,2.533333333333333
2020.03.06,515,11,2.1359223300970873
2020.03.07,150,5,3.3333333333333335
2020.03.08,250,9,3.5999999999999996
2020.03.09,650,19,2.923076923076923
2020.03.10,650,24,3.6923076923076925
2020.03.11,700,15,2.142857142857143
2020.03.12,600,21,3.5000000000000004
2020.03.13,544,9,1.6544117647058825
2020.03.14,100,1,1.0
2020.03.15,250,5,2.0
2020.03.16,850,19,2.235294117647059
2020.03.17,700,18,2.571428571428571
2020.03.18,750,15,2.0
2020.03.19,650,24,3.6923076923076925
2020.03.20,1300,12,0.9230769230769231
2020.03.21,150,4,2.666666666666667
2020.03.22,250,5,2.0
2020.03.23,700,14,2.0
2020.03.24,700,14,2.0
2020.03.25,750,18,2.4
2020.03.26,600,23,3.833333333333333
2020.03.27,700,8,1.1428571428571428
2020.03.28,100,4,4.0
2020.03.29,250,9,3.5999999999999996
2020.03.30,750,8,1.0666666666666667
2020.03.31,750,14,1.866666666666667
2020.04.01,700,15,2.142857142857143
2020.04.02,700,9,1.2857142857142856
2020.04.03,600,13,2.166666666666667
2020.04.04,150,3,2.0
2020.04.05,250,5,2.0
2020.04.06,750,16,2.1333333333333333
2020.04.07,750,8,1.0666666666666667
2020.04.08,750,20,2.666666666666667
2020.04.09,750,19,2.533333333333333
2020.04.10,700,10,1.4285714285714286
2020.04.11,150,1,0.6666666666666667
2020.04.12,250,5,2.0
2020.04.13,800,14,1.7500000000000002
2020.04.14,700,12,1.7142857142857144
2020.04.15,550,4,0.7272727272727273
2020.04.16,750,11,1.4666666666666666
2020.04.17,650,12,1.8461538461538463
2020.04.18,100,2,2.0
2020.04.19,300,1,0.33333333333333337
2020.04.20,800,16,2.0
