date,price,amt
2020.12.30,"6,860","94,241"
2020.12.29,"7,010","114,229"
2020.12.28,"8,490","141,631"
2020.12.24,"8,610","82,108"
2020.12.23,"8,470","96,267"
2020.12.22,"8,760","87,037"
2020.12.21,"8,680","82,147"
2020.12.18,"8,490","88,439"
2020.12.17,"8,340","16,158"
2020.12.16,"8,350","36,618"
2020.12.15,"8,140","19,827"
2020.12.14,"8,110","12,357"
2020.12.11,"8,200","16,040"
2020.12.10,"8,220","24,259"
2020.12.09,"8,080","9,903"
2020.12.08,"8,020","16,542"
2020.12.07,"8,060","14,704"
2020.12.04,"8,130","9,798"
2020.12.03,"8,080","21,948"
2020.12.02,"8,050","13,008"
2020.12.01,"8,020","22,232"
2020.11.30,"8,050","23,861"
2020.11.27,"8,090","13,455"
2020.11.26,"8,060","10,260"
2020.11.25,"7,980","30,658"
2020.11.24,"7,940","16,656"
2020.11.23,"7,810","30,147"
2020.11.20,"7,820","26,063"
2020.11.19,"7,870","20,668"
2020.11.18,"8,100","14,221"
2020.11.17,"7,990","41,435"
2020.11.16,"7,960","59,650"
2020.11.13,"8,150","116,835"
2020.11.12,"8,540","28,669"
2020.11.11,"8,650","19,195"
2020.11.10,"8,650","17,955"
2020.11.09,"8,700","21,297"
2020.11.06,"8,710","18,632"
2020.11.05,"8,730","26,751"
2020.11.04,"8,760","24,927"
2020.11.03,"8,830","32,762"
2020.11.02,"9,000","27,211"
2020.10.30,"9,000","53,128"
2020.10.29,"9,250","53,258"
2020.10.28,"8,900","32,397"
2020.10.27,"8,560","39,551"
2020.10.26,"8,240","23,932"
2020.10.23,"8,260","11,960"
2020.10.22,"8,210","29,802"
2020.10.21,"8,240","11,541"
2020.10.20,"8,190","32,753"
2020.10.19,"8,180","23,146"
2020.10.16,"8,230","47,432"
2020.10.15,"8,200","56,982"
2020.10.14,"8,490","59,188"
2020.10.13,"8,290","39,201"
2020.10.12,"8,060","39,891"
2020.10.08,"7,830","48,424"
2020.10.07,"7,900","34,890"
2020.10.06,"7,850","91,127"
2020.10.05,"7,540","63,561"
2020.09.29,"7,490","69,258"
2020.09.28,"7,510","106,061"
2020.09.25,"7,160","75,954"
2020.09.24,"6,860","62,999"
2020.09.23,"7,000","441,164"
2020.09.22,"6,600","20,759"
2020.09.21,"6,700","28,732"
2020.09.18,"6,700","16,935"
2020.09.17,"6,630","30,439"
2020.09.16,"6,660","47,497"
2020.09.15,"6,590","84,133"
2020.09.14,"6,420","26,467"
2020.09.11,"6,450","15,085"
2020.09.10,"6,450","11,741"
2020.09.09,"6,480","5,611"
2020.09.08,"6,500","12,405"
2020.09.07,"6,490","15,524"
2020.09.04,"6,480","30,321"
2020.09.03,"6,470","22,938"
2020.09.02,"6,500","11,181"
2020.09.01,"6,550","4,220"
2020.08.31,"6,570","11,617"
2020.08.28,"6,570","20,874"
2020.08.27,"6,620","6,961"
2020.08.26,"6,630","9,570"
2020.08.25,"6,700","6,157"
2020.08.24,"6,690","11,172"
2020.08.21,"6,670","17,655"
2020.08.20,"6,530","22,835"
2020.08.19,"6,660","37,966"
2020.08.18,"6,530","70,530"
2020.08.14,"6,560","37,677"
2020.08.13,"6,440","16,353"
2020.08.12,"6,430","15,839"
2020.08.11,"6,380","6,385"
2020.08.10,"6,340","14,544"
2020.08.07,"6,420","8,427"
2020.08.06,"6,400","6,835"
2020.08.05,"6,460","7,721"
2020.08.04,"6,450","5,417"
2020.08.03,"6,440","6,917"
2020.07.31,"6,440","9,336"
2020.07.30,"6,470","18,520"
2020.07.29,"6,410","5,674"
2020.07.28,"6,460","3,076"
2020.07.27,"6,400","4,118"
2020.07.24,"6,470","4,202"
2020.07.23,"6,500","7,655"
2020.07.22,"6,490","4,523"
2020.07.21,"6,530","7,204"
2020.07.20,"6,550","7,542"
2020.07.17,"6,590","9,735"
2020.07.16,"6,500","6,861"
2020.07.15,"6,470","19,385"
2020.07.14,"6,240","25,679"
2020.07.13,"6,490","22,397"
2020.07.10,"6,340","5,211"
2020.07.09,"6,340","13,718"
2020.07.08,"6,190","8,781"
2020.07.07,"6,130","20,455"
2020.07.06,"6,310","5,268"
2020.07.03,"6,250","4,258"
2020.07.02,"6,290","6,774"
2020.07.01,"6,390","7,631"
2020.06.30,"6,340","5,858"
2020.06.29,"6,420","7,392"
2020.06.26,"6,370","18,317"
2020.06.25,"6,370","7,581"
2020.06.24,"6,450","10,880"
2020.06.23,"6,520","13,862"
2020.06.22,"6,540","7,291"
2020.06.19,"6,580","7,968"
2020.06.18,"6,630","2,833"
2020.06.17,"6,670","9,733"
2020.06.16,"6,620","17,943"
2020.06.15,"6,510","23,122"
