date,price,amt
2020.12.30,"1,175","367,950"
2020.12.29,"1,185","325,177"
2020.12.28,"1,185","618,022"
2020.12.24,"1,225","1,978,962"
2020.12.23,"1,230","520,986"
2020.12.22,"1,170","833,474"
2020.12.21,"1,220","582,489"
2020.12.18,"1,255","733,259"
2020.12.17,"1,255","1,572,427"
2020.12.16,"1,245","4,581,260"
2020.12.15,"1,120","510,310"
2020.12.14,"1,105","618,024"
2020.12.11,"1,095","480,412"
2020.12.10,"1,085","329,508"
2020.12.09,"1,080","271,895"
2020.12.08,"1,080","694,595"
2020.12.07,"1,080","600,798"
2020.12.04,"1,075","1,840,416"
2020.12.03,"1,050","369,202"
2020.12.02,"1,065","235,316"
2020.12.01,"1,055","184,740"
2020.11.30,"1,070","288,442"
2020.11.27,"1,075","179,796"
2020.11.26,"1,080","208,994"
2020.11.25,"1,080","830,048"
2020.11.24,"1,110","1,486,810"
2020.11.23,"1,100","1,392,725"
2020.11.20,"1,060","181,201"
2020.11.19,"1,050","385,305"
2020.11.18,"1,080","916,757"
2020.11.17,"1,080","731,717"
2020.11.16,"1,080","1,225,606"
2020.11.13,"1,025","3,592,558"
2020.11.12,"1,175","5,351,332"
2020.11.11,905,"4,496,760"
2020.11.10,833,"169,955"
2020.11.09,828,"186,674"
2020.11.06,816,"121,126"
2020.11.05,816,"118,110"
2020.11.04,810,"87,906"
2020.11.03,803,"103,095"
2020.11.02,800,"120,582"
2020.10.30,799,"377,081"
2020.10.29,801,"425,905"
2020.10.28,808,"152,196"
2020.10.27,808,"130,526"
2020.10.26,810,"207,765"
2020.10.23,817,"177,315"
2020.10.22,815,"53,445"
2020.10.21,814,"222,437"
2020.10.20,815,"114,853"
2020.10.19,817,"372,111"
2020.10.16,810,"687,633"
2020.10.15,798,"503,102"
2020.10.14,787,"113,377"
2020.10.13,789,"171,856"
2020.10.12,784,"286,256"
2020.10.08,773,"136,928"
2020.10.07,780,"28,697"
2020.10.06,780,"55,539"
2020.10.05,778,"44,837"
2020.09.29,778,"55,466"
2020.09.28,774,"23,717"
2020.09.25,762,"37,694"
2020.09.24,766,"62,608"
2020.09.23,777,"103,715"
2020.09.22,779,"215,657"
2020.09.21,777,"244,471"
2020.09.18,778,"79,716"
2020.09.17,775,"66,674"
2020.09.16,782,"263,209"
2020.09.15,787,"202,765"
2020.09.14,783,"138,517"
2020.09.11,788,"64,231"
2020.09.10,785,"106,445"
2020.09.09,787,"173,884"
2020.09.08,779,"186,496"
2020.09.07,772,"217,517"
2020.09.04,763,"175,802"
2020.09.03,762,"155,233"
2020.09.02,761,"100,995"
2020.09.01,757,"293,612"
2020.08.31,755,"113,903"
2020.08.28,751,"73,409"
2020.08.27,744,"84,569"
2020.08.26,749,"64,393"
2020.08.25,749,"77,511"
