date,price,amt
2020.12.30,"2,935","20,981"
2020.12.29,"2,935","22,473"
2020.12.28,"2,990","24,825"
2020.12.24,"2,950","14,184"
2020.12.23,"2,935","78,304"
2020.12.22,"2,950","18,405"
2020.12.21,"2,980","39,325"
2020.12.18,"3,030","35,171"
2020.12.17,"3,020","27,371"
2020.12.16,"3,035","8,809"
2020.12.15,"3,070","20,161"
2020.12.14,"3,060","29,277"
2020.12.11,"3,095","12,848"
2020.12.10,"3,065","5,081"
2020.12.09,"3,095","7,684"
2020.12.08,"3,060","11,467"
2020.12.07,"3,115","24,799"
2020.12.04,"3,150","61,149"
2020.12.03,"3,195","33,722"
2020.12.02,"3,125","21,655"
2020.12.01,"3,100","71,624"
2020.11.30,"3,075","4,594"
2020.11.27,"3,120","9,991"
2020.11.26,"3,090","7,605"
2020.11.25,"3,115","7,939"
2020.11.24,"3,115","6,418"
2020.11.23,"3,115","10,249"
2020.11.20,"3,090","9,922"
2020.11.19,"3,100","7,354"
2020.11.18,"3,055","5,624"
2020.11.17,"3,110","11,026"
2020.11.16,"3,130","8,982"
2020.11.13,"3,105","3,310"
2020.11.12,"3,080","4,750"
2020.11.11,"3,085","45,217"
2020.11.10,"3,050","49,533"
2020.11.09,"2,990","10,138"
2020.11.06,"2,925","19,062"
2020.11.05,"2,935","4,477"
2020.11.04,"2,940","7,051"
2020.11.03,"2,875","17,285"
2020.11.02,"2,840","19,786"
2020.10.30,"2,770","128,689"
2020.10.29,"2,960","33,113"
2020.10.28,"3,060","26,361"
2020.10.27,"3,055","32,360"
2020.10.26,"3,055","28,421"
2020.10.23,"3,190","12,597"
2020.10.22,"3,145","13,141"
2020.10.21,"3,140","42,327"
2020.10.20,"3,120","24,636"
2020.10.19,"3,400","149,562"
2020.10.16,"3,015","14,609"
2020.10.15,"3,035","5,295"
2020.10.14,"3,025","6,356"
2020.10.13,"3,025","19,215"
2020.10.12,"3,055","12,196"
2020.10.08,"3,035","5,458"
2020.10.07,"3,010",521
2020.10.06,"3,000","4,024"
2020.10.05,"2,970","7,620"
2020.09.29,"2,980","6,260"
2020.09.28,"2,990","11,703"
2020.09.25,"3,000","3,318"
2020.09.24,"2,960","44,095"
2020.09.23,"3,100","53,165"
2020.09.22,"3,220","122,404"
2020.09.21,"3,070","76,925"
2020.09.18,"2,965","31,333"
2020.09.17,"2,970","15,784"
2020.09.16,"2,955","13,204"
2020.09.15,"2,970","4,439"
2020.09.14,"2,970","6,079"
2020.09.11,"2,965","16,636"
2020.09.10,"2,950","79,490"
2020.09.09,"3,000","41,650"
2020.09.08,"2,950","24,430"
2020.09.07,"2,945","21,794"
2020.09.04,"2,855","8,035"
2020.09.03,"2,860","21,776"
2020.09.02,"2,740","3,921"
2020.09.01,"2,710","4,167"
2020.08.31,"2,740","3,691"
2020.08.28,"2,750","3,452"
2020.08.27,"2,735","6,739"
2020.08.26,"2,730","7,006"
2020.08.25,"2,770","4,466"
2020.08.24,"2,735","1,627"
2020.08.21,"2,700","2,935"
2020.08.20,"2,680","6,664"
2020.08.19,"2,800","4,221"
2020.08.18,"2,670","26,875"
2020.08.14,"2,930","9,552"
2020.08.13,"2,965","25,806"
2020.08.12,"2,935","136,278"
2020.08.11,"2,925","14,676"
2020.08.10,"2,895","4,650"
2020.08.07,"2,920","46,634"
2020.08.06,"2,885","3,717"
2020.08.05,"2,865","9,416"
2020.08.04,"2,875","9,160"
2020.08.03,"2,920","16,796"
2020.07.31,"2,975","201,201"
2020.07.30,"2,790",818
2020.07.29,"2,805","1,797"
2020.07.28,"2,755","2,910"
2020.07.27,"2,825","4,327"
2020.07.24,"2,780",432
2020.07.23,"2,755","6,829"
2020.07.22,"2,830","2,838"
2020.07.21,"2,795","1,366"
2020.07.20,"2,760","2,285"
2020.07.17,"2,780","2,777"
2020.07.16,"2,840","5,444"
2020.07.15,"2,895","103,407"
2020.07.14,"2,765",371
2020.07.13,"2,845","37,767"
2020.07.10,"2,705","11,382"
2020.07.09,"2,700","6,299"
2020.07.08,"2,700","3,854"
2020.07.07,"2,680","4,067"
2020.07.06,"2,685",321
2020.07.03,"2,710","3,397"
2020.07.02,"2,715",105
2020.07.01,"2,710",296
2020.06.30,"2,710","3,067"
2020.06.29,"2,680",330
2020.06.26,"2,670",191
2020.06.25,"2,750",81
2020.06.24,"2,755","5,004"
2020.06.23,"2,760","5,444"
2020.06.22,"2,760","3,276"
2020.06.19,"2,695","10,134"
2020.06.18,"2,670","1,106"
2020.06.17,"2,655",994
2020.06.16,"2,625","3,435"
2020.06.15,"2,615","10,709"
2020.06.12,"2,715","3,992"
2020.06.11,"2,730","12,866"
2020.06.10,"2,875","28,137"
2020.06.09,"2,855","33,244"
2020.06.08,"2,795","49,563"
2020.06.05,"2,700","31,348"
2020.06.04,"2,720","25,143"
2020.06.03,"2,650","24,615"
2020.06.02,"2,700","9,443"
2020.06.01,"2,700","10,296"
2020.05.29,"2,705","21,361"
2020.05.28,"2,710","4,819"
2020.05.27,"2,700","1,603"
2020.05.26,"2,695","1,800"
2020.05.25,"2,690","1,391"
2020.05.22,"2,705",412
2020.05.21,"2,690","9,066"
2020.05.20,"2,640","18,113"
2020.05.19,"2,670","21,009"
2020.05.18,"2,570","15,175"
2020.05.15,"2,665","7,252"
2020.05.14,"2,660","1,699"
2020.05.13,"2,640","8,413"
2020.05.12,"2,705","4,688"
2020.05.11,"2,715",255
2020.05.08,"2,690","17,900"
2020.05.07,"2,700","9,558"
2020.05.06,"2,720","10,119"
2020.05.04,"2,720","1,501"
2020.04.29,"2,715","2,087"
2020.04.28,"2,725","6,683"
2020.04.27,"2,675","12,606"
2020.04.24,"2,735",819
2020.04.23,"2,730","46,864"
2020.04.22,"2,725","7,913"
2020.04.21,"2,700","72,975"
2020.04.20,"2,705","7,546"
2020.04.17,"2,700","18,293"
2020.04.16,"2,700","2,761"
2020.04.14,"2,705","37,651"
2020.04.13,"2,700","1,468"
2020.04.10,"2,660","4,108"
2020.04.09,"2,660","4,974"
2020.04.08,"2,710",905
2020.04.07,"2,705","2,592"
2020.04.06,"2,680","4,357"
2020.04.03,"2,680","13,549"
2020.04.02,"2,670","1,255"
2020.04.01,"2,640","1,773"
2020.03.31,"2,680","8,076"
2020.03.30,"2,705",895
2020.03.27,"2,740","5,434"
2020.03.26,"2,760","13,028"
2020.03.25,"2,720","7,492"
2020.03.24,"2,655","18,062"
2020.03.23,"2,565","11,373"
2020.03.20,"2,700","54,692"
2020.03.19,"2,540","11,120"
2020.03.18,"2,665","19,643"
2020.03.17,"2,605","18,800"
2020.03.16,"2,650","5,099"
2020.03.13,"2,630","13,378"
2020.03.12,"2,765","8,324"
2020.03.11,"2,800","5,955"
2020.03.10,"2,805","2,966"
2020.03.09,"2,805","10,264"
2020.03.06,"2,860","7,839"
2020.03.05,"2,965","11,342"
2020.03.04,"2,840","1,890"
2020.03.03,"2,845","1,965"
2020.03.02,"2,840","10,539"
2020.02.28,"2,835","8,879"
2020.02.27,"2,850","5,818"
2020.02.26,"2,850","9,189"
2020.02.25,"2,915","10,849"
2020.02.24,"2,880","3,615"
2020.02.21,"2,970","2,467"
2020.02.20,"3,030","2,827"
2020.02.19,"3,075",424
2020.02.18,"3,040",653
2020.02.17,"3,005","7,713"
2020.02.14,"3,130","12,672"
2020.02.13,"3,080","31,719"
2020.02.12,"2,990","23,093"
2020.02.11,"2,875","19,840"
2020.02.10,"2,810","3,616"
2020.02.07,"2,825","10,098"
2020.02.06,"2,820","25,348"
2020.02.05,"2,830","4,091"
2020.02.04,"2,790","30,922"
2020.02.03,"2,820","24,074"
2020.01.31,"2,900","7,324"
2020.01.30,"2,950","4,064"
2020.01.29,"2,950","8,487"
2020.01.28,"2,970","6,602"
