date,price,amt
2020.12.30,"7,120","73,155"
2020.12.29,"7,100","95,482"
2020.12.28,"7,120","83,425"
2020.12.24,"7,130","85,913"
2020.12.23,"7,100","61,730"
2020.12.22,"7,120","32,690"
2020.12.21,"7,160","68,897"
2020.12.18,"7,170","53,195"
2020.12.17,"7,080","124,687"
2020.12.16,"7,140","44,774"
2020.12.15,"7,030","149,083"
2020.12.14,"7,080","136,296"
2020.12.11,"7,130","182,745"
2020.12.10,"7,140","98,154"
2020.12.09,"7,220","99,583"
2020.12.08,"7,230","57,234"
2020.12.07,"7,230","140,074"
2020.12.04,"7,310","55,802"
2020.12.03,"7,370","58,932"
2020.12.02,"7,390","42,602"
2020.12.01,"7,400","55,379"
2020.11.30,"7,430","104,392"
2020.11.27,"7,410","55,443"
2020.11.26,"7,360","45,316"
2020.11.25,"7,330","39,786"
2020.11.24,"7,320","101,654"
2020.11.23,"7,320","68,778"
2020.11.20,"7,210","118,706"
2020.11.19,"7,140","73,038"
2020.11.18,"7,170","61,588"
2020.11.17,"7,170","44,343"
2020.11.16,"7,180","60,587"
2020.11.13,"7,130","51,069"
2020.11.12,"7,160","23,457"
2020.11.11,"7,140","67,517"
2020.11.10,"7,190","79,076"
2020.11.09,"7,190","62,501"
2020.11.06,"7,190","44,909"
2020.11.05,"7,180","82,604"
2020.11.04,"7,140","52,320"
2020.11.03,"7,140","63,763"
2020.11.02,"7,120","104,941"
2020.10.30,"7,170","152,277"
2020.10.29,"7,080","82,411"
2020.10.28,"7,100","57,986"
2020.10.27,"7,120","131,287"
2020.10.26,"7,180","107,189"
2020.10.23,"7,170","156,168"
2020.10.22,"7,090","137,908"
2020.10.21,"7,050","112,763"
2020.10.20,"6,910","103,349"
2020.10.19,"6,860","109,519"
2020.10.16,"6,820","108,630"
2020.10.15,"6,800","107,837"
2020.10.14,"6,760","78,559"
2020.10.13,"6,760","83,180"
2020.10.12,"6,780","44,941"
2020.10.08,"6,800","82,797"
2020.10.07,"6,790","113,912"
2020.10.06,"6,770","50,103"
2020.10.05,"6,800","81,371"
2020.09.29,"6,870","107,136"
2020.09.28,"6,730","129,260"
2020.09.25,"6,780","152,532"
2020.09.24,"6,770","113,643"
2020.09.23,"6,760","84,217"
2020.09.22,"6,760","66,342"
2020.09.21,"6,790","67,794"
2020.09.18,"6,810","70,749"
2020.09.17,"6,820","42,256"
