date,price,amt
2020.12.30,"5,350","553,446"
2020.12.29,"5,280","602,244"
2020.12.28,"5,400","670,608"
2020.12.24,"5,430","330,934"
2020.12.23,"5,440","398,280"
2020.12.22,"5,420","375,881"
2020.12.21,"5,460","358,002"
2020.12.18,"5,520","568,118"
2020.12.17,"5,420","500,285"
2020.12.16,"5,370","125,047"
2020.12.15,"5,370","222,980"
2020.12.14,"5,360","345,380"
2020.12.11,"5,360","481,901"
2020.12.10,"5,230","441,518"
2020.12.09,"5,230","219,074"
2020.12.08,"5,250","162,821"
2020.12.07,"5,260","395,332"
2020.12.04,"5,250","773,604"
2020.12.03,"5,270","658,336"
2020.12.02,"5,340","367,640"
2020.12.01,"5,370","252,648"
2020.11.30,"5,350","414,314"
2020.11.27,"5,400","361,309"
2020.11.26,"5,500","265,816"
2020.11.25,"5,570","292,360"
2020.11.24,"5,530","443,613"
2020.11.23,"5,510","393,579"
2020.11.20,"5,490","215,983"
2020.11.19,"5,500","500,808"
2020.11.18,"5,430","188,821"
2020.11.17,"5,390","268,012"
2020.11.16,"5,350","545,605"
2020.11.13,"5,410","416,926"
2020.11.12,"5,470","119,190"
2020.11.11,"5,470","154,161"
2020.11.10,"5,470","380,134"
2020.11.09,"5,390","214,598"
2020.11.06,"5,400","184,646"
2020.11.05,"5,440","271,291"
2020.11.04,"5,410","119,369"
2020.11.03,"5,370","180,814"
2020.11.02,"5,390","288,467"
2020.10.30,"5,400","203,140"
2020.10.29,"5,380","256,029"
2020.10.28,"5,410","262,954"
2020.10.27,"5,450","316,363"
2020.10.26,"5,440","444,107"
2020.10.23,"5,360","365,213"
2020.10.22,"5,380","631,214"
2020.10.21,"5,290","280,024"
2020.10.20,"5,260","172,938"
2020.10.19,"5,270","267,274"
2020.10.16,"5,270","221,472"
2020.10.15,"5,240","312,991"
2020.10.14,"5,240","188,039"
2020.10.13,"5,230","233,122"
2020.10.12,"5,210","190,543"
2020.10.08,"5,210","210,384"
2020.10.07,"5,160","182,726"
2020.10.06,"5,190","98,165"
2020.10.05,"5,170","189,491"
2020.09.29,"5,180","158,516"
2020.09.28,"5,110","145,815"
2020.09.25,"5,100","190,870"
2020.09.24,"5,080","190,887"
2020.09.23,"5,130","133,501"
2020.09.22,"5,150","188,380"
2020.09.21,"5,150","226,371"
2020.09.18,"5,200","205,189"
2020.09.17,"5,210","336,779"
2020.09.16,"5,160","182,327"
2020.09.15,"5,140","173,529"
2020.09.14,"5,150","149,171"
2020.09.11,"5,140","151,061"
2020.09.10,"5,120","189,843"
2020.09.09,"5,090","323,638"
2020.09.08,"5,090","317,249"
2020.09.07,"5,070","233,639"
2020.09.04,"5,070","233,306"
2020.09.03,"5,080","257,069"
2020.09.02,"5,080","124,204"
2020.09.01,"5,080","243,613"
2020.08.31,"5,080","232,643"
2020.08.28,"5,050","228,502"
2020.08.27,"5,050","205,410"
2020.08.26,"5,080","261,207"
2020.08.25,"5,090","222,765"
2020.08.24,"5,050","269,136"
2020.08.21,"5,080","335,106"
2020.08.20,"5,100","464,942"
2020.08.19,"5,170","374,385"
2020.08.18,"5,130","345,428"
2020.08.14,"5,190","269,297"
2020.08.13,"5,240","273,728"
2020.08.12,"5,240","601,824"
2020.08.11,"5,120","366,479"
2020.08.10,"5,100","221,790"
2020.08.07,"5,100","388,754"
2020.08.06,"5,100","236,472"
2020.08.05,"5,100","511,563"
2020.08.04,"5,170","317,090"
2020.08.03,"5,140","241,109"
2020.07.31,"5,180","142,368"
2020.07.30,"5,170","167,533"
2020.07.29,"5,170","314,289"
