date,price,amt
2020.12.30,"4,265","66,767"
2020.12.29,"4,270","64,952"
2020.12.28,"4,275","88,516"
2020.12.24,"4,290","63,585"
2020.12.23,"4,280","50,856"
2020.12.22,"4,300","41,070"
2020.12.21,"4,300","47,354"
2020.12.18,"4,295","71,063"
2020.12.17,"4,295","48,292"
2020.12.16,"4,300","47,425"
2020.12.15,"4,290","40,772"
2020.12.14,"4,290","38,472"
2020.12.11,"4,300","50,718"
2020.12.10,"4,280","78,637"
2020.12.09,"4,295","69,163"
2020.12.08,"4,280","41,462"
2020.12.07,"4,275","117,597"
2020.12.04,"4,310","101,028"
2020.12.03,"4,310","72,062"
2020.12.02,"4,350","120,992"
2020.12.01,"4,355","80,278"
2020.11.30,"4,350","140,629"
2020.11.27,"4,395","186,272"
2020.11.26,"4,490","138,441"
2020.11.25,"4,495","99,781"
2020.11.24,"4,510","151,164"
2020.11.23,"4,505","183,153"
2020.11.20,"4,500","74,199"
2020.11.19,"4,505","131,938"
2020.11.18,"4,495","102,969"
2020.11.17,"4,490","41,682"
2020.11.16,"4,485","117,989"
2020.11.13,"4,540","129,525"
2020.11.12,"4,460","119,699"
2020.11.11,"4,445","74,258"
2020.11.10,"4,430","84,352"
2020.11.09,"4,425","74,969"
2020.11.06,"4,440","73,677"
2020.11.05,"4,440","54,008"
2020.11.04,"4,460","38,213"
2020.11.03,"4,460","75,501"
2020.11.02,"4,465","81,767"
2020.10.30,"4,495","101,463"
2020.10.29,"4,515","124,745"
2020.10.28,"4,540","64,472"
2020.10.27,"4,510","97,662"
2020.10.26,"4,540","101,432"
2020.10.23,"4,520","212,121"
2020.10.22,"4,450","158,359"
2020.10.21,"4,320","140,934"
2020.10.20,"4,270","95,982"
2020.10.19,"4,275","187,565"
2020.10.16,"4,265","34,221"
2020.10.15,"4,250","55,800"
2020.10.14,"4,270","101,727"
2020.10.13,"4,285","41,016"
2020.10.12,"4,290","53,603"
2020.10.08,"4,290","55,923"
2020.10.07,"4,290","19,515"
2020.10.06,"4,290","58,758"
2020.10.05,"4,295","31,702"
2020.09.29,"4,285","19,987"
2020.09.28,"4,250","33,236"
2020.09.25,"4,240","52,576"
2020.09.24,"4,235","43,807"
2020.09.23,"4,255","33,163"
2020.09.22,"4,250","53,141"
